sample name	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.1740.102.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	391	17.88828	-66.99812	Russell Hill Lab				
1740.1740.103.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	392	17.88828	-66.99812	Russell Hill Lab				
1740.1740.104.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	393	17.88828	-66.99812	Russell Hill Lab				
1740.1740.105.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	394	17.88828	-66.99812	Russell Hill Lab				
1740.1740.106.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	395	17.88828	-66.99812	Russell Hill Lab				
1740.1740.107.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	396	17.88828	-66.99812	Russell Hill Lab				
1740.1740.108.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	397	17.88828	-66.99812	Russell Hill Lab				
1740.1740.109.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	16.7	ENVO:reef	sponges	398	18.39177	-67.47597	Russell Hill Lab				
1740.1740.11.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	306	18.40198	-87.40878	Russell Hill Lab				
1740.1740.11.VIII.05.1.009.EMP.Thomas.sponges.16S.L007	2011-08-05 00:00:00	GAZ:United States of America	96.9	ENVO:reef	sponges	542	24.76296	-83.86149	Lopez Lab				
1740.1740.11.VIII.95.6.001.EMP.Thomas.sponges.16S.L007	1995-08-11 00:00:00	GAZ:United States of America	77.7	ENVO:reef	sponges	543	26.24335	-83.72222	Lopez Lab				
1740.1740.11.XII.84.1.014.EMP.Thomas.sponges.16S.L007	1984-12-11 00:00:00	GAZ:The Bahamas	15.2	ENVO:reef	sponges	535	25.40333	-77.90833	Lopez Lab				
1740.1740.110.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	16.7	ENVO:reef	sponges	399	18.39177	-67.47597	Russell Hill Lab				
1740.1740.111.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	16.7	ENVO:reef	sponges	400	18.39177	-67.47597	Russell Hill Lab				
1740.1740.112.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	16.7	ENVO:reef	sponges	401	18.39177	-67.47597	Russell Hill Lab				
1740.1740.113.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	402	17.88828	-66.99812	Russell Hill Lab				
1740.1740.114.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	403	17.88828	-66.99812	Russell Hill Lab				
1740.1740.115.EMP.Thomas.sponges.16S.L007	2012-08-13 00:00:00	GAZ:Puerto Rico	32.1	ENVO:reef	sponges	404	17.88828	-66.99812	Russell Hill Lab				
1740.1740.116.EMP.Thomas.sponges.16S.L007	2012-08-09 00:00:00	GAZ:Puerto Rico	24.2	ENVO:reef	sponges	405	18.39177	-67.47597	Russell Hill Lab				
1740.1740.117.EMP.Thomas.sponges.16S.L007	2012-08-09 00:00:00	GAZ:Puerto Rico	24.2	ENVO:reef	sponges	406	18.39177	-67.47597	Russell Hill Lab				
1740.1740.118.EMP.Thomas.sponges.16S.L007	2012-08-09 00:00:00	GAZ:Puerto Rico	24.2	ENVO:reef	sponges	407	18.39177	-67.47597	Russell Hill Lab				
1740.1740.119.EMP.Thomas.sponges.16S.L007	2012-08-09 00:00:00	GAZ:Puerto Rico	24.2	ENVO:reef	sponges	408	18.39177	-67.47597	Russell Hill Lab				
1740.1740.12.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	307	18.40198	-87.40878	Russell Hill Lab				
1740.1740.12.V.00.3.004.EMP.Thomas.sponges.16S.L007	2000-05-12 00:00:00	GAZ:Curacao Island	242.3	ENVO:reef	sponges	456	12.33203	-69.16593	HBOI.McCarthy				
1740.1740.12.VIII.09.1.001.EMP.Thomas.sponges.16S.L007	2009-08-12 00:00:00	GAZ:United States of America	406.6	ENVO:reef	sponges	470	28.32038	-79.75898	HBOI.McCarthy				
1740.1740.120.EMP.Thomas.sponges.16S.L007	2011-07-20 00:00:00	GAZ:The Bahamas	24.2	ENVO:reef	sponges	409	22.6045	-73.54653	Russell Hill Lab				
